Name: #: 1, Latitude: -71.457512, Longitude: 43.040871
Name: #: 2, Latitude: -71.45694, Longitude: 43.041336
Name: #: 3, Latitude: -71.456993, Longitude: 43.040775
Name: #: 4, Latitude: -71.456177, Longitude: 43.041428
Name: #: 5, Latitude: -71.45649, Longitude: 43.040382
Name: #: 6, Latitude: -71.455276, Longitude: 43.041481
Name: #: 7, Latitude: -71.456985, Longitude: 43.039986
Name: #: 8, Latitude: -71.455833, Longitude: 43.040047
Name: #: 9, Latitude: -71.454628, Longitude: 43.041641
Name: #: 10, Latitude: -71.457268, Longitude: 43.039677
Name: #: 11, Latitude: -71.456589, Longitude: 43.039703
Name: #: 12, Latitude: -71.456184, Longitude: 43.039536
Name: #: 13, Latitude: -71.454597, Longitude: 43.039375
Name: #: 14, Latitude: -71.455536, Longitude: 43.040382
Name: #: 15, Latitude: -71.453316, Longitude: 43.042149
Name: #: 16, Latitude: -71.457176, Longitude: 43.039532
Name: #: 17, Latitude: -71.45636, Longitude: 43.03915
Name: #: 18, Latitude: -71.45401, Longitude: 43.040272
Name: #: 19, Latitude: -71.454094, Longitude: 43.039108
Name: #: 20, Latitude: -71.4552, Longitude: 43.040798
Name: #: 21, Latitude: -71.454514, Longitude: 43.040569
Name: #: 22, Latitude: -71.453522, Longitude: 43.041637
Name: #: 23, Latitude: -71.45253, Longitude: 43.042068
Name: #: 24, Latitude: -71.456604, Longitude: 43.03875
Name: #: 25, Latitude: -71.455177, Longitude: 43.038395
Name: #: 26, Latitude: -71.453506, Longitude: 43.040031
Name: #: 27, Latitude: -71.45356, Longitude: 43.04084
Name: #: 28, Latitude: -71.454056, Longitude: 43.039101
Name: #: 28, Latitude: -71.454018, Longitude: 43.039093
Name: #: 29, Latitude: -71.454247, Longitude: 43.038994
Name: #: 30, Latitude: -71.455467, Longitude: 43.040962
Name: #: 31, Latitude: -71.454056, Longitude: 43.041618
Name: #: 32, Latitude: -71.453743, Longitude: 43.041363
Name: #: 33, Latitude: -71.453781, Longitude: 43.041828
Name: #: 34, Latitude: -71.453781, Longitude: 43.041607
Name: #: 35, Latitude: -71.453102, Longitude: 43.041359
Name: #: 36, Latitude: -71.452507, Longitude: 43.041851
Name: #: 37, Latitude: -71.452225, Longitude: 43.041973
Name: #: 38, Latitude: -71.454857, Longitude: 43.038372
Name: #: 39, Latitude: -71.453491, Longitude: 43.040207
Name: #: 40, Latitude: -71.453217, Longitude: 43.039936
Name: #: 41, Latitude: -71.453392, Longitude: 43.041019
Name: #: 42, Latitude: -71.452904, Longitude: 43.040531
Name: #: 43, Latitude: -71.453789, Longitude: 43.039364
Name: #: 44, Latitude: -71.453751, Longitude: 43.038883
Name: #: 45, Latitude: -71.45472, Longitude: 43.038731
Name: #: 46, Latitude: -71.454506, Longitude: 43.038612
Name: #: 47, Latitude: -71.452644, Longitude: 43.041405
Name: #: 48, Latitude: -71.452141, Longitude: 43.042271
